id,titulo,autor,precio,id editorial
1,El secreto de tus ojos,Daveta Lympenie,893,1
2,Crane World,Phillie Galia,962,5
3,Lucky,Granthem Ayerst,1855,6
4,Please Vote for Me,Phillie Galia,1614,4
5,Alien Nation: The Udara Legacy,Carlos Airey,2177,1
6,Emperor,Phillie Galia,1492,3
7,Topralli,Daveta Lympenie,2062,6
8,Silent Hill,Granthem Ayerst,673,2
9,Lili Marleen,Daveta Lympenie,2643,6
10,Diabolique (Les diaboliques),Daveta Lympenie,2153,4
11,Lili Marleen,Karlene Linbohm,2643,6
12,Reindeerspotting ,Cobbie Scripps,2693,6
13,Turks & Caicos,Silas Dutt,1190,4
14,Hypocrites,Walliw Kleehuhler,756,6
15,Carousel,Cort Dunbabin,894,1
16,On My Way,Mellisent Blewmen,680,2
17,Snake-Crane Secret ,Zed Fley,1380,2
18,Rahtree: Flower of the Night ),Brynna Worwood,2651,2
19,Student of the Year,Pepe Beere,1627,1
20,Le Donk & Scor-zay-zee,Elaina Lippett,1778,4
21,Carriers Are Waiting,Laffranconi,4974,3
22,Craig Ferguson,Vial,788,4
23,The Skinny,Kinker,866,6
24,Basara,Lintall,811,2
25,Molly Maguires,Beckers,1623,3
26,Christmas in July,Mommy Shildrake,1220,1
27,Blown Away,Kennett Dilliston,394,5
28,Miami Blues,Willyt Jost,1249,6
29,In the Electric Mist,Riva Camplin,667,1
